,Specs,Infos
0,Price,"Price: Rs. 279,900.00"
1,Engine Type,"SI, 4 Stroke, Air Cooled "
2,Maximum Power,12.22kW @ 8500 rpm (as per IS 10000 part IV )
3,Maximum Torque,15.5 ± 0.3Nm @ 6500 ± 200rpm
4,Max. Speed,114 km/h
5,Mileage,40 kmpl
6,Tyres,New Advanced Remora Tyres
