,Specs,Infos
0,Price,"Price: Rs. 115,900.00"
1,Engine Type,4 Stroke Single Cylinder 
2,Engine Displacement 	,99.7cc
3,Max. Power	,3.20kW (4.3bhp) @ 6000 rpm
4,Max. Torque 	,6.5 Nm @ 3500 rpm
5,Fuel Tank Capacity 	,4l (including 1.3l reserve) 
6,Primary Drive ,Single Speed Gear Box
