,Specs,Infos
0,Price,"Price: Rs. 196,900.00"
1,Engine Displacement,124.5 cc
2,Engine Type,"4 Stroke, Eco Thrust Engine "
3,Mileage,60 kmpl
4,Front Suspension,Telescopic 
5,Rear Suspension ,5 Step Adjustable Shocks with Series Spring 
6,Starting System ,Self/Kick 
