,Specs,Infos
0,Price,"Price: Rs. 289,900.00"
1,Engine Displacement,159.7cc
2,Engine Type,"4 Stroke, SI, Oil cooled, 4V"
3,Fuel System, Carburetor
4,Mileage,45 kmpl
5,Transmission,5 Speed gearbox.
6,Fuel Tank Capacity (lts),12 Ltr 
