,Specs,Infos
0,Price,"Price: Rs. 241,900.00"
1,Engine Displacement,124.53 cc
2,Maximum Power 	,8.10 KW/8000 RPM
3,Maximum Torque 	,10.8 NM/5500 RPM
4,Front Suspension	,Hydraulic Telescopic 
5,Rear Suspension 	,Series Springs 
6,Mileage,40 kmpl
