,Specs,Infos
0,Price,"Price: Rs. 324,900.00"
1,Engine Type: ,"SI, 4-storoke, Oil-Cooled"
2,Max. Engine Output,15.09 kW @ 8500 rpm 
3,Cooling System: ,Oil Cooler with Ram Air Assist
4,Max Speed, 128 km/h in 5th gear
5,Acceleration,38 km/h
6,Tail Lamp,LED 2.5 Wv
