,Specs,Infos
0,Price,"Price: Rs. 268,900.00"
1,Mileage,45 kmpl
2,Maximum Power,11.19 kW (15.2 bhp) @8500 rpm 
3,Maximum Torque ,13.08Nm @6000 rpm 
4,Max. Speed (Kmph), 118
5,Fuel Tank Capacity,16.0 ltrs
6,Chassis Type,Double Cradle SynchroSTIFF
