,Specs,Infos
0,Price,"Price: Rs. 185,900.00"
1,Engine Displacement,109.7 cc
2,Maximum Power,6.18 kW (8.4PS) @ 7000 rpm 
3,Maximum Torque ,8.7 Nm @ 5000 rpm
4,Transmission ,4 speed constant mesh 
5,Cluthch 	,Wet-multi plate type 
6,Mileage,60 kmpl
