,Specs,Infos
0,Price,"Price: Rs. 779,900.00"
1,Engine Type," SI, 4 stroke, 4 valve, Single Cylinder, Liquid Cooled, Reverse Inclined"
2,Maximum Power,25kW @9700 engine rpm (34 PS @9700 engine rpm)
3,Gear Box,6 Gear
4,Maximum Torque,27.3 NM @ 7700 engine rpm
5,Max Speed,160 km/h
6,Acceleration 0-2sec (speed in km/h),46.77 km/h
