,Specs,Infos
0,Price,"Price: Rs. 178,900.00"
1,Engine Displacement,109.7cc
2,Engine Type,CVT-i Engine
3,Max. Net Power (PS/rpm)	,7.91 bhp ( 5.9 KW ) @ 7500 rpm
4,Max. Net Torque (Nm/rpm)	,8.8 Nm @ 5500 rpm
5,Front Suspension ,Telescopic Suspension
6,Rear Suspension ,Unit swing with spring-loaded hydraulic damper
