,Specs,Infos
0,Price,"Price: Rs. 211,900.00"
1,Engine Type,"4 Stroke, Single Cylinder, Air Cooled, OHC "
2,Engine Displacement,109.7 cc
3,Maximum Power 	,5.88 kW (8 bhp) @ 7500 rpm
4,Maximum Torque 	,8.4 Nm @ 5500 rpm
5,Chassis Frame 	,High Rigidity Underbone Type 
6,Ground Clearence 	,150 mm
