,Specs,Infos
0,Price,"Price: Rs. 214,900.00"
1,Engine Displacement ,124.8 cc
2,Power (PS@rpm),9.38 PS @ 7000 rpm
3,Torque (Nm@rpm),10.5 Nm @ 5500 rpm
4,Mileage ,45 kmpl
5,Valve Per Cylinder,3
6,0-60 kmph (sec),9s
