,Specs,Details
0,Price,"Rs. 524,900"
1,Length,2100mm
2,Width,820mm
3,Height,1126mm
4,Wheelbase,1360mm
5,Ground clearance,245mm
6,Kerb weight,129kg
7,Fuel tank capacity,12L
8,Starting method,Electric with Kick starter back up
9,Displacement,150 cc
10,Max net power,12.14 HP @ 7750 RPM
11,Max net torque,12.5Nm @ 6000 RPM
12,Compression ratio,9.5:1
13,Stroke,57.8 mm
14,Bore,57.3 mm
15,No. of gears,5
16,Gear pattern,1-N-2-3-4-5
17,Max speed,
18,Tyre size,90/90 R19
19,Tyre type,
20,Brake type/size,"Dual piston caliper, 240mm disc"
21,Tyre size,110/90/R17
22,Tyre type,
23,Brake type/size,Mechanical drum
24,Frame type,
25,Front suspension,"Telescopic fork, 180mm axle travel"
26,Rear suspension,"Single Shock swing are, 150mm axle travel"
27,Battery,12V-4 A . H
28,Head lamp,35W x 1 (low) / 35W x 1 (high) 
