,Specs
0,"['Type: 4-stroke, DTS-i, air cooled', 'Max Power: 14  @ 8500 (Ps @ RPM)', 'Max Torque: 13.4 Nm @ 6000 (Nm @ RPM)', 'Displacement: 149.5 cc', 'Brake Size Front:  240 mm Disc', 'Brake Size Rear:  130 mm Drum', 'Tyre Front:  80/100-17, 46P Tubeless', 'Tyre Rear:  100/90 - 17 – 55P Tubeless', 'Brake Type Front:  240 mm Disc', 'Brake Type Rear:  130 mm Drum']"
1,"['Wheel Base:  1320 mm', 'Ground Clearance:  165 mm', 'Suspension Front:  Telescopic front fork with anti-friction bush, Storke 135 mm', 'Kerb Weight:  144 Kg', 'Fuel Tank (Reserve / Usable):  15 L (3.2 L reserve, 2 L usable)', 'Suspension Rear:  Triple rated spring, 5 way adjustable with 105 mm travel Nitrox shock absorber', 'System: 12 V Full DC', 'Battery:  12 v DC', 'Head Lamps:  35/35 W HS-1']"
