,Specs
0,"['Type: Twin Spark, 2 valve, DTS-i engine Air Cooled', 'Max Power: 19.03 @ 8400 (Ps @ RPM)', 'Max Torque: 17.05 @ 7000 (Nm @ RPM)', 'Displacement: 220 cc', 'Brake Size Front:  260 mm Disc', 'Brake Size Rear:  130 mm Drum', 'Tyre Front:  90 / 90 x 17"" 49P', 'Tyre Rear:  130 / 90 x 15"" 66P']"
1,"['Wheel Base:  1490 mm', 'Length x Width x Height:  2210 x 806 x 1142 (mm)', 'Ground Clearance:  169 mm', 'Suspension Front:  Telescopic with Anti-friction Brush', 'Kerb Weight:  159 Kgs', 'Fuel Tank (Reserve / Usable):  13 L (3.8 L Reserve)', 'Suspension Rear:  Twin Shock Absorber', 'System: 12V, 9Ah, MF', 'Head Lamp (Low Beam):  60 W', 'Battery:  12V, 9Ah, MF']"
