,Specs
0,"['Type: 4-valve DTS-i Twin Spark with ExhausTEC ', 'Max Power: 13 @ 9000 (Ps @ RPM)', 'Max Torque: 10.79 @ 6500 (NM @ RPM)', 'Displacement: 124.6 cc', 'Max Speed:105 Kmph', 'Starting:Kick & Electric', 'Brake Size Front:  Petal/ Disc 200 mm Disc', 'Brake Size Rear:  130 mm Drum', 'Tyre Front:  2.75 x 17"" 41P, with tubed', 'Tyre Rear:  3.00 x 17"" 50P, With Tubed', 'Brake Type Front:  Petal Disc / 200mm', 'Brake Type Rear:  Drum / 130mm']"
1,"['Wheel Base:  1306mm', 'Length x Width x Height:  1980 mm x 714 mm x 1078 mm', 'Ground Clearance:  170mm', 'Suspension Front:  Telescopic, 130 mm fork travel', 'Kerb Weight:  125 Kg', 'Fuel Tank (Reserve / Usable):  10 L (3.4 L Usable reserve)', 'Suspension Rear:  Gas charged Nitrox mono shock absorber, rear wheel travel 110mm', 'System: 12 Volt (DC)', 'Head Lamp (High Beam):  12 V 35/35 W,HS-1', 'Battery:  12 V, 5AH MF']"
