,Specs
0,"['Type: 4-Stroke - Liquid Cooled, Digital Triple Spark', 'Max Power: 23.5 @ 9500 (Ps @ RPM)', 'Max Torque: 18.3 @ 8000 (Nm @ RPM)', 'Displacement: 199.5 cc', 'Brake Size Front:  300 mm Disc', 'Brake Size Rear:  100/80 - 17,52 P Tubeless', 'Tyre Front:  230mm', 'Tyre Rear:  130/70 - 17,62 P Tubeless', 'Brake Type Front:  Hydraulic disc brake with Single channel ABS, Disc diameter 300 mm', 'Brake Type Rear:  Hydraulic disc brake, Disc diameter 230 mm']"
1,"['Wheel Base:  1363 mm', 'Length x Width x Height:  2017 mm x 804 mm x 1075 mm', 'Ground Clearance:  169 mm', 'Suspension Front:  Hydraulic telescopic,130 mm fork travel', 'Kerb Weight:  154 Kg', 'Fuel Tank (Reserve / Usable):  12 L ', 'Suspension Rear:  Hydraulic disc brake,Disc diameter 230mm', 'System: 12 V, DC', 'Head Lamp (Low Beam):  Twin projector 55W Low and 60W High Beam']"
