,Specs
0,"['Type: 4-stroke, DTS-i, oil cooled, single cyliner', 'Max Power: 21 @ 8500 (Ps @ RPM )', 'Max Torque: 19.12 @ 7000 (Nm @ RPM)', 'Displacement: 220 cc', 'Brake Size Front:  260 mm disc', 'Brake Size Rear:  230 mm disc', 'Tyre Front:  90/90-17”, 49P Tubeless', 'Tyre Rear:  12/80 - 17 , 61P Tubeless', 'Brake Type Front:  260 mm Disc', 'Brake Type Rear:  230 mm Disc']"
1,"['Wheel Base:  1350 mm', 'Length x Width x Height:  2035 mm x 750 mm x 1165 mm', 'Ground Clearance:  165 mm', 'Suspension Front:  Telescopic with Anti-friction Bush (Stroke 130 mm )', 'Kerb Weight:  152 Kg', 'Fuel Tank (Reserve / Usable):  15 L (3.2 L reserve, 2 L usable reserve)', 'Suspension Rear:  5 way adjustable, Nitrox shock absorber', 'System: 12 V Full DC', 'Head Lamp (Low Beam):  Projector Lamp 55 W', 'Head Lamp (High Beam):  Low - projector lamp 55w, High-Ellipsodial lamp 55w, with auto headlamp on (AHO)']"
