,Specs
0,"['Type:  Liquid cooled, Single cylinder, DOHC', 'Max Power: 39.9 PS @ 8650 rpm', 'Max Torque:  35 @ 7000 (Nm @ RPM)', 'Displacement: 373.27 cc', 'Max Speed:148 Kmph (internally tested)', 'Brake Size Front:  Disc', 'Brake Size Rear:  Disc', 'Tyre Front:   110/70- 17 Radial', 'Tyre Rear:   150/60-17 Radial', 'Brake Type Front:  ABS', 'Brake Type Rear:  ABS']"
1,"['Wheel Base:  1453 mm', 'Length x Width x Height:  2156 mm x 836 mm x 1112 mm', 'Ground Clearance:  157 mm', 'Suspension Front:  USD Forks', 'Kerb Weight:  184.5 Kg', 'Fuel Tank (Reserve / Usable):  13 L', 'Suspension Rear:  Mono suspension with Nitrox', 'Battery:  12V, 8Ah VRLA', 'Head Lamps:  Full LED with Auto Headlamp On (AHO)']"
