,Specs
0,"['Type: Four Stroke,Natural Air Cooled with Oil Cooler, SI Engine', 'Max Power: 15.5 @ 8500 (Ps @ RPM)', 'Max Torque: 14.6 @ 6500 (Nm @ RPM)', 'Displacement: 160.3 cc', 'Brake Size Front:  240mm Disc', 'Brake Size Rear:  Hydraulic Disc brake 230 mm Disc', 'Tyre Front:  230mm Disc', 'Tyre Rear:  110/80-17”, 57P Tubeless', 'Brake Type Front:  Hydraulic disc brake', 'Brake Type Rear:  Hydraulic disc brake']"
1,"['Wheel Base:  1370 mm', 'Length x Width x Height:  2017 mm x 803.5 mm x 1060 mm', 'Ground Clearance:  167 mm', 'Suspension Front:  Telescopic fork (33m Diameter) with 130 mm stroke and Single antifriction bush', 'Kerb Weight:  145 Kg', 'Fuel Tank (Reserve / Usable):  12 L (2.4L Reserve / Usable)', 'Suspension Rear:  Nitrox Mono Shock Absorber with Piggy back gas canister', 'System: 12 V DC', 'Head Lamp (Low Beam):  12V, 60W']"
