,Specs
0,"['Type: Single Cylinder 2-Valve DTS-I Engine with ExhausTEC', 'Max Power: 6.03 kw (8.2 PS) @ 7500 rpm', 'Max Torque: 8.05 Nm at 4500 rpm', 'Displacement: 99.27 cc', 'Max Speed:90 Kmph (internally tested)', 'Brake Size Front:  Drum Type (110 mm Dia)', 'Brake Size Rear:  Drum Type (110 mm Dia)', 'Tyre Front:  2.75 x 17"", 41 P', 'Tyre Rear:  2.75 x 17', 'Brake Type Front:  Drum Type (110 mm Dia)', 'Brake Type Rear:  Drum Type (110 mm Dia)']"
1,"['Wheel Base:  1255 mm', 'Length x Width x Height:  2000 mm x 840 mm x 1060 mm', 'Ground Clearance:  190 mm', 'Suspension Front:  Hydraulic, Telescopic Type, 125mm travel', 'Kerb Weight:  113 Kgs', 'Fuel Tank (Reserve / Usable):  13 L', 'Suspension Rear:  100 mm Rear Wheel travel, SNS', 'System: 12 V Full DC']"
