,Specs
0,"['Type: 4-stroke, 2-valve, Twin Spark DTS-i-Engine, BSIV Compliant', 'Max Power: 14 PS @ 800 RPM', 'Max Torque: 13.4 NM @ 6000 RPM', 'Displacement: 149.05 cc', 'Brake Size Front:  260 mm Disc', 'Brake Size Rear:  230 MM Disc', 'Tyre Front:  90/90 - 17"" - Tubeless', 'Tyre Rear:  120 / 80 - 17"" Tubeless']"
1,"['Wheel Base:  1345 mm', 'Length x Width x Height:  2055 mm x 765 mm x 1115 mm', 'Ground Clearance:  165 mm', 'Suspension Front:  Telescopic Front fork with Anti Friction bush (Dia 37mm)', 'Kerb Weight:  144 Kg', 'Fuel Tank (Reserve / Usable):  15 L', 'Suspension Rear:  5 way adjustable, Nitrox shock absorber', 'System: 12 V Full DC', 'Head Lamp (High Beam):  35/35 W with 2 Pilot Lamps']"
