,Specs,Infos
0,ENGINE TYPE:,"Single cylinder, Liquid cooled EFI SOHC"
1,CAPACITY: ,149.4cc
2,BORE & STROKE:,57.0mm x 58.6mm
3,COMPRESSION RATIO:,10.5:1
4,FUEL SYSTEM:,EFI
5,MAX. POWER OUTPUT:,10.7Kw/9000r/min
6,MAX. TORQUE:,12.2Nm/6800r/min
7,GEARBOX: ,6-speed
8,FRONT SUSPENSION:,Upside down telescopic fork
9,REAR SUSPENSION:,Mid positioned monoshock
10,BRAKES:,"Front: Single disc 292mm with twin-piston caliper / Rear: Single
		disc 220mm with single piston caliper"
11,FRONT TYRE/WHEEL:,100/80R17 CST Radial on 2.50 in. cast aluminium wheel
12,REAR TYRE/WHEEL:,130/70R17 CST Radial on 3.50 in. cast alumnium wheel
13,LENGTH x WIDTH x HEIGHT:,2025mm x 770mm x 1070mm
14,WHEELBASE:,1360mm
15,SEAT HEIGHT:,775mm
16,MIN. GROUND CLEARANCE:,150mm
17,MIN. TURNING DIAMETER:,5m
18,FUEL CAPACITY:,10L
19,WEIGHT:,135kg (dry)
20,MAX. PAYLOAD CAPACITY:,150kg
21,AVAILABLE COLOURS:,Pearl White & Royal Blue
22,PRICE: (Ride away),Rs
