,Specs,Details
0,Price,"₨212,900"
1,Displacement,113cc
2,Max Power,7.2 PS @ 7500 rpm
3,Maximum Torque,8.1 Nm @ 5000 rpm
4,Ignition,C.D.I (Capacitor Discharge Ignition)
5,Cooling System,Air Cooled
6,Transmission Type,-
7,Front Brake Type,Drum
8,Rear Brake Type,Drum
9,Front Tyre Size,90/100-10
10,Rear Tyre Size,90/100-10
11,Tyre Type,Tubeless
12,Front Suspension,Telescopic fork
13,Rear Suspension,Unit Swing
14,Overall Length,1815 cm
15,Overall Width,675 cm
16,Overall Height,1120 cm
17,Wheelbase,1270 mm
18,Ground Clearance,130 mm
19,Seat Height,775 mm
20,Fuel Tank Capacity,5.2 L
21,Speedometer,Analogue
22,Start Type,Kick and Self Start
