,Specs,Infos
0,Stroke,4 Stroke
1,Compression Ratio,12.7:1
2,Final Drive,"520 RK CHAIN, 13T/51T"
3,Transmissions,6 Gears
4,Displacement (ml),249.9 CC
5,Braking,Nissin Front/Rear
6,Ignition,Electric/Kick
7,Cooling,Liquid
8,Cylinders,Single Cylinder
9,Bore Stroke,77 * 53.6 mm
10,Suspension/Front,Inverted Hydraulic 48mm with preload adjuster.
11,Wheel,"21"" Front/ 18"" Rear Aluminum 7050"
12,Fuel Capacity,Acerbis 12 Liters
13,Color,Black/Yellow/White
