,Specs,Infos
0,Stroke,4 Stroke
1,Compression Ratio,12.7:1
2,Final Drive,520 RK CHAIN 13T/48T
3,Displacement (ml),249.6 CC
4,Ignition,Electric/Kick
5,Cooling,Liquid
6,Cylinders,Single Cylinder
7,Bore Stroke,77 * 53.6 mm
8,Transmissions,6 Gears
9,Suspension/Front,Inverted Hydraulic 48mm with preload adjuster.
10,Braking,Nissin Front 240mm / Rear 220mm
11,Fuel Capacity,Acerbis 12 Liters
12,Color,Black/Yellow/White
