,Specs,Infos
0,Stroke,4 Stroke
1,Max Torque,101N·m/5000 (r/min)
2,Compression Ratio,11.5:1
3,Final Drive,520 RK CHAIN
4,Max Power,29.8HP @9000 RPM
5,Displacement (ml),249.6 CC
6,Ignition,CDI
7,Cooling,Liquid
8,Cylinders,Single Cylinder
9,Bore Stroke,77 * 53.6 mm
10,Transmissions,6 Gears
11,Suspension/Front,Inverted Hydraulic 48mm with preload adjuster.
12,Braking,Nissin Front 240mm / Rear 220mm
13,Color,White Red / Black
